ID_Venta,Marca,Pais_Origen,Tipo_Carroceria,Tipo_Combustible,Caballos_Fuerza,Precio_Catalogo_Original,Sede,Ciudad_Sede,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta
1,Chevrolet,Estados Unidos,Hatchback,Gas,50,5253,Primeauto Andino,Pereira,3298,6329,191,2026-01-01
2,Toyota,Japon,Hatchback,Diesel,56,7819,Velocitymotors,Bucaramanga,4792,9238,177,2025-01-01
3,Saab,Suecia,Sedan,Gas,112,15689,Velocitymotors,Bucaramanga,10232,18984,126,2026-01-01
4,Nissan,Japon,Sedan,Gas,69,6830,Velocitymotors,Bucaramanga,4425,7953,203,2024-01-01
5,Nissan,Japon,Sedan,Diesel,55,6898,Primeauto Andino,Pereira,8511,7797,143,2025-01-01
6,Toyota,Japon,Sedan,Gas,89,11233,Primeauto Andino,Cali,6965,13277,191,2025-01-01
7,Chevrolet,Estados Unidos,Hatchback,Gas,49,5118,Primeauto Andino,Pereira,3504,6195,176,2026-01-01
8,Subaru,Japon,Sedan,Gas,80,9339,Motorcenter Sur,Medellin,5460,9830,189,2025-01-01
9,Honda,Japon,Sedan,Gas,103,13026,Autoplaza Norte,Bogota,8459,13981,175,2026-01-01
10,Chevrolet,Estados Unidos,Hatchback,Gas,73,6159,Motor Center Sur,Medellin,4328,7114,218,2024-01-01
11,Peugot,Francia,Sedan,Diesel,96,13190,Carworld Pacifico,Cali,9356,15081,107,2026-01-01
12,Volvo,Suecia,Sedan,Gas,113,16478,Motorcenter Sur,Medellin,9831,19329,103,2026-01-01
13,Toyota,Japon,Hatchback,Gas,63,6100,Velocity Motors,Bucaramanga,4222,7418,175,2026-01-01
14,Toyota,Japon,Sedan,Gas,69,6852,Drivehub Caribe,Barranquilla,5201,7769,213,2024-01-01
15,Subaru,Japon,Wagon,Gas,85,7703,Drivehub Caribe,Barranquilla,4795,9597,165,2025-01-01
16,Toyota,Japon,Hatchback,Gas,66,8452,Drivehub Caribe,Barranquilla,5121,9381,181,2026-01-01
17,Nissan,Japon,Hatchback,Gas,158,17658,Autoplaza Norte,Bogota,10940,21713,103,2025-01-01
18,Dodge,Estados Unidos,Sedan,Gas,63,7799,Velocitymotors,Bucaramanga,4700,8854,189,2026-01-01
19,Toyota,Japon,Convertible,Gas,110,16938,Carworld Pacifico,Cali,13711,19144,119,2026-01-01
20,Nissan,Japon,Wagon,Gas,72,7203,Motorcenter Sur,Medellin,4849,8423,191,2026-01-01
21,Nissan,Japon,Sedan,Gas,157,13204,Velocitymotors,Bucaramanga,9582,15141,167,2025-01-01
22,Mitsubishi,Japon,Hatchback,Gas,66,6476,Primeauto Andino,Pereira,4099,7101,171,2026-01-01
23,Honda,Japon,Hatchback,Gas,81,7986,Primeauto Andino,Pereira,4976,8688,195,2026-01-01
24,Volkswagen,Alemania,Hatchback,Gas,81,9906,Velocitymotors,Bucaramanga,8909,10634,206,2025-01-01
25,Toyota,Japon,Hatchback,Gas,69,8504,Drivehub Caribe,Barranquilla,5309,9586,212,2026-01-01
26,Saab,Suecia,Sedan,Gas,119,11272,Autoplaza Norte,Bogota,7400,13656,198,2026-01-01
27,Mitsubishi,Japon,Hatchback,Gas,147,14847,Motorcenter Sur,Medellin,9384,16339,140,2026-01-01
28,Toyota,Japon,Hatchback,Gas,102,10687,Velocitymotor,Bucaramanga,7109,11610,174,2023-01-01
29,Peugot,Francia,Sedan,Diesel,97,16978,Drivehub Caribe,Cali,11043,17957,143,2026-01-01
30,Nissan,Japon,Sedan,Gas,65,6865,Velocitymotors,Bucaramanga,8365,7891,159,2025-01-01
31,Nissan,Japon,Wagon,Gas,68,7490,Motorcenter Sur,Medellin,5041,8081,214,2026-01-01
32,Jaguar,Reino Unido,Sedan,Gas,177,36664,Autoplaza Norte,Bogota,23579,36714,63,2026-01-01
33,Chevrolet,Estados Unidos,Hatchback,Gas,70,5855,Motor Center Sur,Medellin,4327,7709,183,2024-01-01
34,Peugot,Francia,Wagon,Diesel,98,16070,Autoplaza Norte,Bogota,12794,19401,149,2025-01-01
35,Volkswagen,Alemania,Sedan,Diesel,53,7832,Primeauto Andino,Cali,5237,8974,188,2024-01-01
36,Bmw,Alemania,Sedan,Gas,124,20577,Primeauto Andino,Pereira,13069,24117,143,2026-01-01
37,Toyota,Japon,Sedan,Gas,90,11398,Primeauto Andino,Cali,7288,12918,166,2025-01-01
38,Toyota,Japon,Hardtop,Gas,120,11075,Primeauto Andino,Pereira,6595,12219,178,2026-01-01
39,Mazda,Japon,Hatchback,Gas,143,14586,Velocitymotors,Cali,10686,18199,152,2026-01-01
40,Renault,Francia,Wagon,Gas,100,8882,Primeauto Andino,Pereira,5618,10055,146,2026-01-01
41,Honda,Japon,Hatchback,Gas,74,6443,Carworld Pacifico,Cali,4499,7538,205,2026-01-01
42,Toyota,Japon,Sedan,Gas,73,6881,Drivehub Caribe,Barranquilla,4973,7315,206,2024-01-01
43,Subaru,Japon,Sedan,Gas,81,9172,Motorcenter Sur,Medellin,4881,9255,184,2025-01-01
44,Mercedes-Benz,Alemania,Hardtop,Gas,193,44726,Primeauto Andino,Pereira,29373,48473,1,2023-01-01
45,Bmw,Alemania,Sedan,Gas,119,25493,Velocitymotors,Bucaramanga,17024,29306,98,2026-01-01
46,Volvo,Suecia,Wagon,Gas,170,19745,Drivehub Caribe,Barranquilla,11689,21851,113,2026-01-01
47,Nissan,Japon,Sedan,Gas,69,6808,Velocitymotors,Bucaramanga,8434,7393,164,2025-01-01
48,Volkswagen,Alemania,Sedan,Gas,86,7379,Autoplaza Norte,Bogota,4649,8466,193,2026-01-01
49,Subaru,Japon,Hatchback,Gas,77,7767,Motorcenter Sur,Medellin,8383,9003,204,2026-01-01
50,Toyota,Japon,Sedan,Gas,69,7888,Drivehub Caribe,Barranquilla,5291,9045,195,2025-01-01
51,Toyota,Japon,Sedan,Gas,68,7013,Drivehub Caribe,Barranquilla,5105,7348,213,2024-01-01
52,Honda,Japon,Sedan,Gas,85,10649,Carworld Pacifico,Cali,6537,11855,172,2024-01-01
53,Mitsubishi,Japon,Hatchback,Gas,69,5169,Carworld Pacifico,Cali,3505,6282,168,2023-01-01
54,Nissan,Japon,Sedan,Gas,65,8026,Autoplaza Nrote,Bogota,4621,8960,202,2026-01-01
55,Nissan,Japon,Sedan,Gas,155,13046,Velocitymotors,Bucaramanga,9847,13794,159,2025-01-01
56,Audi,Alemania,Sedan,Gas,137,24501,Drivehub Caribe,Barranquilla,13969,29171,83,2026-01-01
57,Peugot,Francia,Sedan,Diesel,99,15902,Drivehub Caribe,Cali,10529,18415,139,2026-01-01
58,Honda,Japon,Hatchback,Gas,55,5223,Motorcenter Sur,Medellin,3980,6020,180,2025-01-01
59,Toyota,Japon,Wagon,Gas,60,7285,Primeauto Andino,Cali,4108,8024,169,2026-01-01
60,Subaru,Japon,Sedan,Gas,77,7061,Primeauto Andino,Pereira,3993,8517,204,2023-01-01
61,Volkswagen,Alemania,Convertible,Gas,87,11936,Carworld Pacifico,Cali,8667,13327,148,2026-01-01
62,Toyota,Japon,Wagon,Gas,63,6975,Primeauto Andino,Cali,3974,8214,136,2026-01-01
63,Mitsubishi,Japon,Hatchback,Gas,68,5369,Carworld Pacifico,Cali,3583,6294,176,2023-01-01
64,Volvo,Suecia,Sedan,Gas,161,19299,Autoplaza Norte,Bogota,8532,21660,112,2026-01-01
65,Mitsubishi,Japon,Sedan,Gas,88,6931,Carworld Pacifico,Cali,4769,7973,184,2025-01-01
66,Mercedes-Benz,Alemania,Wagon,Diesel,124,26487,Carworld Pacifico,Cali,19755,33070,68,2026-01-01
67,Volkswagen,Alemania,Sedan,Gas,82,8256,Drivehub Caribe,Barranquilla,5439,10238,153,2026-01-01
68,Mitsubishi,Japon,Hatchback,Gas,70,6308,Primeauto Andino,Pereira,3719,6761,193,2026-01-01
69,Bmw,Alemania,Sedan,Gas,186,41887,Carworld Pacifico,Cali,8695,48136,32,2024-01-01
70,Nissan,Japon,Wagon,Gas,70,7560,Carworld Pacifico,Cali,5112,9194,213,2026-01-01
71,Toyota,Japon,Sedan,Gas,71,7854,Carworld Pacifico,Cali,4852,8527,188,2025-01-01
72,Honda,Japon,Sedan,Gas,87,8665,Carworld Pacifico,Cali,6430,10561,196,2025-01-01
73,Nissan,Japon,Sedan,Gas,74,7403,Autoplaza Nrote,Bogota,4310,8289,208,2026-01-01
74,Dodge,Estados Unidos,Sedan,Gas,102,8146,Carworld Pacifico,Cali,6187,10107,218,2025-01-01
75,Subaru,Japon,Sedan,Gas,81,6969,Primeauto Andino,Pereira,3875,8390,212,2023-01-01
76,Nissan,Japon,Hardtop,Gas,67,8039,Carworld Pacifico,Cali,5227,9627,209,2025-01-01
77,Mercedes-Benz,Alemania,Hardtop,Diesel,119,28937,Motorcenter Sur,Medellin,19833,31285,94,2025-01-01
78,Jaguar,Reino Unido,Sedan,Gas,168,36557,Autoplaza Norte,Bogota,24577,38300,61,2026-01-01
79,Peugot,Francia,Sedan,Diesel,92,17858,Velocitymotors,Bucaramanga,11542,20146,151,2026-01-01
80,Subaru,Japon,Hatchback,Gas,69,5118,Autoplaza Norte,Bogota,3116,5763,197,2024-01-01
81,Volkswagen,Alemania,Wagon,Gas,89,12350,Primeauto Andino,Pereira,7843,12981,146,2026-01-01
82,Nissan,Japon,Sedan,Diesel,55,6896,Primeauto Andino,Pereira,8942,7183,155,2025-01-01
83,Honda,Japon,Hatchback,Gas,74,6267,Carworld Pacifico,Cali,4254,7182,158,2025-01-01
84,Toyota,Japon,Hatchback,Gas,120,11169,Carworld Pacifico,Cali,6923,12954,156,2026-01-01
85,Renault,Francia,Wagon,Gas,106,9088,Primeauto Andino,Pereira,5474,10923,162,2026-01-01
86,Subaru,Japon,Sedan,Gas,82,8857,Motorcenter Sur,Medellin,5246,10045,138,2025-01-01
87,Chevrolet,Estados Unidos,Sedan,Gas,68,6612,Carworld Pacifico,Cali,3780,7217,216,2024-01-01
88,Mazda,Japon,Sedan,Gas,122,18747,Drivehub Caribe,Barranquilla,12458,20577,168,2026-01-01
89,Toyota,Japon,Sedan,Diesel,56,7459,Carworld Pacifico,Cali,4477,8747,212,2024-01-01
90,Toyota,Japon,Hatchback,Gas,110,11559,Carworld Pacifico,Cali,7189,12671,149,2026-01-01
91,Nissan,Japon,Sedan,Diesel,55,7044,Primeauto Andino,Pereira,8737,7719,171,2025-01-01
92,Toyota,Japon,Sedan,Gas,113,9409,Motorcenter Sur,Medellin,6272,10527,191,2026-01-01
93,Toyota,Japon,Sedan,Gas,100,8944,Carworld Pacifco,Cali,6240,10631,183,2025-01-01
94,Mitsubishi,Japon,Hatchback,Gas,117,9452,Motorcenter Sur,Medellin,5499,10368,195,2025-01-01
