ID_Venta,Marca,Pais_Origen,Tipo_Carroceria,Tipo_Combustible,Caballos_Fuerza,Precio_Catalogo_Original,Sede,Ciudad_Sede,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta
1,Chevrolet,Estados Unidos,Hatchback,Gas,50,5253.0,Primeauto Andino,Pereira,3298,6329.0,191.0,2026-01-01
2,Toyota,Japon,Hatchback,Diesel,56,7819.0,Velocity Motors,Bucaramanga,4792,9238.0,177.0,2025-01-01
3,Saab,Suecia,Sedan,Gas,112,15689.0,Velocity Motors,Bucaramanga,10232,18984.0,126.0,2026-01-01
4,Nissan,Japon,Sedan,Gas,69,6830.0,Velocity Motors,Bucaramanga,4425,7953.0,203.0,2024-01-01
5,Nissan,Japon,Sedan,Diesel,55,6898.0,Primeauto Andino,Pereira,8511,7797.0,143.0,2025-01-01
6,Toyota,Japon,Sedan,Gas,89,11233.0,Primeauto Andino,Cali,6965,13277.0,191.0,2025-01-01
7,Chevrolet,Estados Unidos,Hatchback,Gas,49,5118.0,Primeauto Andino,Pereira,3504,6195.0,176.0,2026-01-01
8,Subaru,Japon,Sedan,Gas,80,9339.0,MotorCenter Sur,Medellin,5460,9830.0,189.0,2025-01-01
9,Honda,Japon,Sedan,Gas,103,13026.0,Autoplaza Norte,Bogota,8459,13981.0,175.0,2026-01-01
10,Chevrolet,Estados Unidos,Hatchback,Gas,73,6159.0,Motor Center Sur,Medellin,4328,7114.0,218.0,2024-01-01
11,Peugot,Francia,Sedan,Diesel,96,13190.0,Carworld Pacifico,Cali,9356,15081.0,107.0,2026-01-01
12,Volvo,Suecia,Sedan,Gas,113,16478.0,MotorCenter Sur,Medellin,9831,19329.0,103.0,2026-01-01
13,Toyota,Japon,Hatchback,Gas,63,6100.0,Velocity Motors,Bucaramanga,4222,7418.0,175.0,2026-01-01
14,Toyota,Japon,Sedan,Gas,69,6852.0,Drivehub Caribe,Barranquilla,5201,7769.0,213.0,2024-01-01
15,Subaru,Japon,Wagon,Gas,85,7703.0,Drivehub Caribe,Barranquilla,4795,9597.0,165.0,2025-01-01
16,Toyota,Japon,Hatchback,Gas,66,8452.0,Drivehub Caribe,Barranquilla,5121,9381.0,181.0,2026-01-01
17,Nissan,Japon,Hatchback,Gas,158,17658.0,Autoplaza Norte,Bogota,10940,21713.0,103.0,2025-01-01
18,Dodge,Estados Unidos,Sedan,Gas,63,7799.0,Velocity Motors,Bucaramanga,4700,8854.0,189.0,2026-01-01
19,Toyota,Japon,Convertible,Gas,110,16938.0,Carworld Pacifico,Cali,13711,19144.0,119.0,2026-01-01
20,Nissan,Japon,Wagon,Gas,72,7203.0,MotorCenter Sur,Medellin,4849,8423.0,191.0,2026-01-01
21,Nissan,Japon,Sedan,Gas,157,13204.0,Velocity Motors,Bucaramanga,9582,15141.0,167.0,2025-01-01
22,Mitsubishi,Japon,Hatchback,Gas,66,6476.0,Primeauto Andino,Pereira,4099,7101.0,171.0,2026-01-01
23,Honda,Japon,Hatchback,Gas,81,7986.0,Primeauto Andino,Pereira,4976,8688.0,195.0,2026-01-01
24,Volkswagen,Alemania,Hatchback,Gas,81,9906.0,Velocity Motors,Bucaramanga,8909,10634.0,206.0,2025-01-01
25,Toyota,Japon,Hatchback,Gas,69,8504.0,Drivehub Caribe,Barranquilla,5309,9586.0,212.0,2026-01-01
26,Saab,Suecia,Sedan,Gas,119,11272.0,Autoplaza Norte,Bogota,7400,13656.0,198.0,2026-01-01
