ID_Venta,Caballos_Fuerza,Precio_Catalogo_Original,Precio_Construccion,Precio_Publico,Cantidad_Vendida,Anio_Venta,ID_Pais_Origen_x,ID_Tipo_Carroceria,ID_Tipo_Combustible,ID_Marca,ID_Pais_Origen_y,ID_Sede,ID_Ciudad_Sede
1,50,5253.0,3298,6329.0,191.0,2026-01-01,1,1,1,1,1,1,1
2,56,7819.0,4792,9238.0,177.0,2025-01-01,2,1,2,2,2,2,2
3,112,15689.0,10232,18984.0,126.0,2026-01-01,3,2,1,3,3,2,2
4,69,6830.0,4425,7953.0,203.0,2024-01-01,2,2,1,4,2,2,2
5,55,6898.0,8511,7797.0,143.0,2025-01-01,2,2,2,4,2,1,1
6,89,11233.0,6965,13277.0,191.0,2025-01-01,2,2,1,2,2,1,1
7,49,5118.0,3504,6195.0,176.0,2026-01-01,1,1,1,1,1,1,1
8,80,9339.0,5460,9830.0,189.0,2025-01-01,2,2,1,5,2,4,4
9,103,13026.0,8459,13981.0,175.0,2026-01-01,2,2,1,6,2,5,5
10,73,6159.0,4328,7114.0,218.0,2024-01-01,1,1,1,1,1,6,4
11,96,13190.0,9356,15081.0,107.0,2026-01-01,4,2,2,7,4,7,3
12,113,16478.0,9831,19329.0,103.0,2026-01-01,3,2,1,8,3,4,4
13,63,6100.0,4222,7418.0,175.0,2026-01-01,2,1,1,2,2,2,2
14,69,6852.0,5201,7769.0,213.0,2024-01-01,2,2,1,2,2,8,6
15,85,7703.0,4795,9597.0,165.0,2025-01-01,2,3,1,5,2,8,6
16,66,8452.0,5121,9381.0,181.0,2026-01-01,2,1,1,2,2,8,6
17,158,17658.0,10940,21713.0,103.0,2025-01-01,2,1,1,4,2,5,5
18,63,7799.0,4700,8854.0,189.0,2026-01-01,1,2,1,9,1,2,2
19,110,16938.0,13711,19144.0,119.0,2026-01-01,2,4,1,2,2,7,3
20,72,7203.0,4849,8423.0,191.0,2026-01-01,2,3,1,4,2,4,4
21,157,13204.0,9582,15141.0,167.0,2025-01-01,2,2,1,4,2,2,2
22,66,6476.0,4099,7101.0,171.0,2026-01-01,2,1,1,10,2,1,1
23,81,7986.0,4976,8688.0,195.0,2026-01-01,2,1,1,6,2,1,1
